out_path,rel_path,file_name,eye_label,x0,y0,x1,y1,out_size,pad_scale,screen_x,screen_y,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z,fc_x,fc_y,fc_z,gt_x,gt_y,gt_z,gaze_dx,gaze_dy,gaze_dz,gaze_ux,gaze_uy,gaze_uz,subject_id
C:\Users\jayfo\OneDrive\Desktop\EyeTrackpad\outputs\preprocessed\p00\eyes\day04_0680.jpg_L.png,day04/0680.jpg,day04_0680.jpg_L.png,left,651,258,750,358,64,0.4,1101.0,479.0,-0.050323,0.073244,-0.060264,-0.027816,-22.128959,433.684471,1.305374,0.665648,432.48563,-128.942277,105.973962,-15.025481,-130.247651,105.308314,-447.511111,-0.272582,0.220389,-0.936551,p00
C:\Users\jayfo\OneDrive\Desktop\EyeTrackpad\outputs\preprocessed\p00\eyes\day03_0264.jpg_R.png,day03/0264.jpg,day03_0264.jpg_R.png,right,459,423,560,523,64,0.4,1106.0,169.0,-0.207265,-0.132146,-0.118043,-16.759861,43.975382,434.319907,-13.782928,66.193983,429.816529,-130.644119,36.642528,-12.780281,-116.861191,-29.551455,-442.59681,-0.254756,-0.064422,-0.964857,p00
C:\Users\jayfo\OneDrive\Desktop\EyeTrackpad\outputs\preprocessed\p00\eyes\day19_0378.jpg_L.png,day19/0378.jpg,day19_0378.jpg_L.png,left,726,306,820,399,64,0.4,136.0,267.0,-0.147847,0.052484,-0.058736,35.624155,-3.388579,463.760282,36.872387,19.187767,460.360387,85.976407,56.214457,-30.161564,49.10402,37.02669,-490.521951,0.099328,0.074898,-0.992232,p00
C:\Users\jayfo\OneDrive\Desktop\EyeTrackpad\outputs\preprocessed\p00\eyes\day16_0834.jpg_L.png,day16/0834.jpg,day16_0834.jpg_L.png,left,695,209,802,315,64,0.4,738.0,464.0,0.067388,0.084773,-0.002577,18.76475,-42.505516,418.10188,18.888799,-19.692446,419.637198,-47.974784,101.739354,-21.170116,-66.863583,121.4318,-440.807314,-0.144698,0.262788,-0.953942,p00
C:\Users\jayfo\OneDrive\Desktop\EyeTrackpad\outputs\preprocessed\p00\eyes\day04_0676.jpg_R.png,day04/0676.jpg,day04_0676.jpg_R.png,right,538,258,637,358,64,0.4,37.0,446.0,-0.101027,0.06979,-0.019686,17.090284,-24.927754,427.618109,17.458751,-2.183702,425.298394,108.404667,96.014959,-33.112586,90.945916,98.198661,-458.41098,0.190442,0.20563,-0.959921,p00
C:\Users\jayfo\OneDrive\Desktop\EyeTrackpad\outputs\preprocessed\p00\eyes\day15_0079.jpg_L.png,day15/0079.jpg,day15_0079.jpg_L.png,left,655,287,753,385,64,0.4,1061.0,496.0,-0.311962,0.129359,-0.053125,3.104377,-10.536588,459.231292,3.83866,11.194649,452.158603,-119.984968,109.679783,-15.832491,-123.823628,98.485134,-467.991094,-0.250649,0.199358,-0.947329,p00
C:\Users\jayfo\OneDrive\Desktop\EyeTrackpad\outputs\preprocessed\p00\eyes\day24_0067.jpg_L.png,day24/0067.jpg,day24_0067.jpg_L.png,left,705,192,804,291,64,0.4,598.0,694.0,-0.060246,0.069406,-0.001654,24.017064,-54.088668,439.87995,24.007049,-31.265153,438.503057,-16.301792,152.848676,-25.182171,-40.308841,184.113829,-463.685228,-0.080533,0.36784,-0.926395,p00
C:\Users\jayfo\OneDrive\Desktop\EyeTrackpad\outputs\preprocessed\p00\eyes\day10_0242.jpg_R.png,day10/0242.jpg,day10_0242.jpg_R.png,right,540,352,655,466,64,0.4,386.0,776.0,0.326227,0.019191,0.081214,21.089783,19.842907,390.591476,19.338619,41.427983,397.928144,31.156632,170.677646,-29.402912,11.818013,129.249663,-427.331056,0.026462,0.289404,-0.956841,p00
C:\Users\jayfo\OneDrive\Desktop\EyeTrackpad\outputs\preprocessed\p00\eyes\day22_0428.jpg_L.png,day22/0428.jpg,day22_0428.jpg_L.png,left,673,340,771,437,64,0.4,557.0,553.0,-0.107631,-0.064033,0.060833,9.0319,8.233911,428.205679,7.724109,30.924458,425.708182,-7.420124,121.209235,-24.90594,-15.144233,90.284777,-450.614122,-0.032935,0.196348,-0.979981,p00
C:\Users\jayfo\OneDrive\Desktop\EyeTrackpad\outputs\preprocessed\p00\eyes\day06_0610.jpg_R.png,day06/0610.jpg,day06_0610.jpg_R.png,right,465,364,564,464,64,0.4,320.0,671.0,-0.059722,0.246214,-0.051247,-13.816811,19.182175,408.418028,-12.825221,41.976778,406.924179,45.684601,147.030448,-29.807797,58.509822,105.05367,-436.731976,0.129165,0.231915,-0.964122,p00
